Text,Author,Date
"A #Montpellier, la précarité frappe de plein fouet les étudiants. Plus de 1200 d'entre eux sont venus récupérer de quoi manger ce lundi lors d'une grande distribution alimentaire gratuite organisée par le @scum34  à l'université Paul Valéry. 
https://t.co/zWgHhncG9u",MÉTROPOLITAIN,Tue Oct 22 10:33:03 +0000 2024
Le président de l'université de Reims Champagne-Ardennes est hors sol.,Monstera Deliciiosa,Tue Oct 22 10:32:43 +0000 2024
"Montée de Salazar (1932) : António de Oliveira Salazar, nommé ministre des Finances en 1928, est un homme sobre et discret. Économiste de formation et professeur à l'université, il est vu comme le seul capable de redresser le pays. Il accepte ce rôle à une seule condition, si le https://t.co/3L8no6HugN",ninjaMuscléDuChrist❤️‍🔥🇻🇦,Tue Oct 22 10:31:44 +0000 2024
Soutien aux camarades du collectif des sans-facs lillois qui ont décider d’interpeller la présidence de l’Université de Lille en rentrant dans ses locaux ✊💥,UNEF Tacle Lyon,Tue Oct 22 10:28:20 +0000 2024
@droiteuniv @UNI__Tours Ce que j'ai à vous dire n'est pas agréable à lair du temps mais l'Université fut créée par des hommes Catholiques. Sombrera-t-elle sous la direction de femmes islamo gauchistes ?,Celto Roma ✝️🌿⚜️♥️Blaise Pascal⚜️♥️✝️🌿☦️✡️🇦🇲,Tue Oct 22 10:27:33 +0000 2024
"@IsralMutombo11 Il faut nationaliser les établissements privés co l'université de Kindu, la piste d'atterrissage de Mol..., les ports privés, ...",mukanya jm,Tue Oct 22 10:26:29 +0000 2024
"@thebuilder237 @BerthierAce La mairie paye plus que l'université.
Le poisson suit l'eau.",GOOD FATHER,Tue Oct 22 10:26:21 +0000 2024
"Pour défendre la doctrine catholique de la non-ordination des femmes, un professeur d'université romaine en vient donc à tordre l’Évangile. 
Mais tout va bien.",Simplex fac cor meum,Tue Oct 22 10:25:59 +0000 2024
"Tous là c’est soit des gens du monde professionnel ou des professeurs d’université 🤣
Je n’enregistre pas les numéros de mes oncles et tantes. https://t.co/cMnOaiAgxR",Ca〽️ille🦋🧚🏽‍♀️,Tue Oct 22 10:25:50 +0000 2024
"Les classements d’université au niveau national comme international sont disponibles. Voir les classements par thématique aussi. Par exemple: agriculture, foresterie, environnement dans mon cas.",L'homme Takander🇸🇳,Tue Oct 22 10:24:16 +0000 2024
"@mrvicfer Le niveau est extrêmement bas. L’université est un havre de gauchistes comme aux US. 

Je me demandais si on avait seulement des économistes libéraux en France ? S’ils existent ils sont inaudibles.
Les médias adulent Piketty l’escroc intellectuel",Daff,Tue Oct 22 10:23:51 +0000 2024
"Haut-Katanga : Concours d'admission 2024-2025, lancement réussi à l'Université de Lubumbashi | https://t.co/yVwCioFeOU https://t.co/kXHQopgBHh
@PKamukenj @malu_raissa",InfoPlusCd,Tue Oct 22 10:22:52 +0000 2024
"@pmartin_UdeM Je croyais qu'à l'université on vous apprenait à ne plagier, ou du moins a citer vos références!!",Guillaume Lanouette,Tue Oct 22 10:21:28 +0000 2024
"Tout est spécifié sur le site web de l’université que vous choisirez. Avec les podcasts surtout et les films en anglais, j’avais le niveau C1 en anglais. C’est un travail sur plusieurs années quand même.",L'homme Takander🇸🇳,Tue Oct 22 10:21:17 +0000 2024
"⚠ Rappel : en raison d’une opération de maintenance électrique, les #BIUSanté Médecine et Pharmacie fermeront exceptionnellement au public à 17h le mercredi 23 et vendredi 25 octobre, ainsi que toute la journée du samedi 26 octobre.

Plus d'infos ➡ https://t.co/kwHY7zKoVw https://t.co/qHmBLNe4Cw",Bibliothèques d'Université Paris Cité,Tue Oct 22 10:20:00 +0000 2024
"@droiteuniv @UNI__Tours Rupture de la réserve légale imposé à tout fonctionnaire et menace à peine voilée 
Du pur bonheur les gars!!!
Envoi par huissier auprès du doyen de l’université et demande de sa radiation avant plainte art 40
Elle est DEHORS!!!",Goldeneye99,Tue Oct 22 10:19:42 +0000 2024
